Timestamp,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,What makes a good day for you (1)?,What makes a good day for you (2)?,What programme are you in?,Birth Day,Birth Month,Birth Year,Neighbors,Competition,Random,Stress,Time you went to be Yesterday
4/1/2019 16:01:29,yes,1,mu,ja,female,fat,no lectures and work,food,business administration/business analytics,3.0,1.0,1995.0,10.0,10.0,8.0,20.0,21.0
4/1/2019 16:01:29,no,0,mu,nee,female,slim,sunshine,friends,artificial intelligence,13.0,7.0,1995.0,1.0,,5.0,110.0,2.0
4/1/2019 16:01:29,no,1,mu,ja,female,fat,good conversation,being with friends ,computational science,3.0,12.0,1995.0,4.0,0.0,5.83,60.0,1.0
4/1/2019 16:01:29,yes,0,mu,ja,male,fat,laughing,smiling,bioinformatics and systems biology,7.0,4.0,1995.0,5.0,100471.0,7.0,15.0,1.0
4/1/2019 16:01:29,yes,1,mu,ja,male,neither,gym,enough sleep,business administration/business analytics,23.0,2.0,1997.0,4.0,15.0,1.0,30.0,23.0
4/1/2019 16:01:29,yes,1,mu,ja,female,neither,sunshine,sports,artificial intelligence,30.0,3.0,1995.0,8.0,60.0,46743222.0,25.0,21.0
4/1/2019 16:01:29,no,0,mu,nee,male,i have no idea what you are talking about,food,sunshine,computational science,9.0,3.0,1994.0,4.0,0.2,3.0,33.0,22.0
4/1/2019 16:01:29,yes,1,mu,nee,male,neither,vim,emacs,computer science,27.0,4.0,1994.0,4.0,100.0,6483920484627.0,10.0,3.0
4/1/2019 16:01:30,yes,0,mu,nee,male,neither,a lot of sleep,coffee,bioinformatics and systems biology,11.0,5.0,1996.0,0.0,1.0,4.0,9000.0,1.0
4/1/2019 16:01:31,yes,0,mu,nee,male,neither,enough sleep,sunshine,information sciences,13.0,9.0,1995.0,6.0,85.0,3.14,50.0,23.0
4/1/2019 16:01:31,no,0,sigma,nee,male,neither,sport,food,computational science,23.0,1.0,1994.0,3.0,3.0,3.0,15.0,23.0
